Name,First Name,Last Name,Team,Position,OVR
Jackie Battle,Jackie,Battle,Chiefs,HB,66
Deji Karim,Deji,Karim,Jaguars,HB,66
Quinn Johnson,Quinn,Johnson,Titans,FB,66
Lorenzo Booker,Lorenzo,Booker,Vikings,HB,66
Bilal Powell,Bilal,Powell,Jets,HB,65
Jamie Harper,Jamie,Harper,Titans,HB,65
Will Ta'ufo'ou,Will,Ta'ufo'ou,Bears,FB,64
Spencer Larsen,Spencer,Larsen,Broncos,FB,64
Keiland Williams,Keiland,Williams,Lions,FB,64
Alex Green,Alex,Green,Packers,HB,64
Kahlil Bell,Kahlil,Bell,Bears,HB,63
Henry Hynoski,Henry,Hynoski,Giants,FB,63
D.J. Ware,D.J.,Ware,Giants,HB,63
Kregg Lumpkin,Kregg,Lumpkin,Buccaneers,HB,62
Jordan Todman,Jordan,Todman,Chargers,HB,62
Joe McKnight,Joe,McKnight,Jets,HB,62
Allen Bradford,Allen,Bradford,Buccaneers,HB,61
Charles Clay,Charles,Clay,Dolphins,FB,61
Eric Kettani,Eric,Kettani,Patriots,FB,61
Armond Smith,Armond,Smith,Browns,HB,60
Erik Lorig,Erik,Lorig,Buccaneers,FB,60
Lex Hilliard,Lex,Hilliard,Dolphins,HB,60
Anthony Allen,Anthony,Allen,Ravens,HB,60
Jonathan Dwyer,Jonathan,Dwyer,Steelers,HB,60
Xavier Omon,Xavier,Omon,49ers,HB,59
Alfonso Smith,Alfonso,Smith,Cardinals,HB,58
Darren Evans,Darren,Evans,Colts,HB,58
Ryan D'Imperio,Ryan,D'Imperio,Vikings,FB,58
Antone Smith,Antone,Smith,Falcons,HB,57
Tyler Clutts,Tyler,Clutts,Browns,FB,54
Bruce Miller,Bruce,Miller,49ers,FB,51
Jahri Evans,Jahri,Evans,Saints,RG,98
Jake Long,Jake,Long,Dolphins,LT,97
Nick Mangold,Nick,Mangold,Jets,C,97
Carl Nicks,Carl,Nicks,Saints,LG,96
Chris Snee,Chris,Snee,Giants,RG,96
Jeff Saturday,Jeff,Saturday,Colts,C,95
Ben Grubbs,Ben,Grubbs,Ravens,LG,95
Joe Thomas,Joe,Thomas,Browns,LT,95
Kris Dielman,Kris,Dielman,Chargers,LG,94
D'Brickashaw Ferguson,D'Brickashaw,Ferguson,Jets,LT,94
Tyson Clabo,Tyson,Clabo,Falcons,RT,93
Logan Mankins,Logan,Mankins,Patriots,LG,93
Ryan Clady,Ryan,Clady,Broncos,LT,92
Josh Sitton,Josh,Sitton,Packers,RG,92
Steve Hutchinson,Steve,Hutchinson,Vikings,LG,92
Jordan Gross,Jordan,Gross,Panthers,LT,92
Michael Roos,Michael,Roos,Titans,LT,91
Kareem McKenzie,Kareem,McKenzie,Giants,RT,91
David Stewart,David,Stewart,Titans,RT,91
Matt Birk,Matt,Birk,Ravens,C,91
Todd McClure,Todd,McClure,Falcons,C,90
Todd Herremans,Todd,Herremans,Eagles,RT,90
Eric Winston,Eric,Winston,Texans,RT,90
Brandon Moore,Brandon,Moore,Jets,RG,90
Vernon Carey,Vernon,Carey,Dolphins,RG,90
Ryan Kalil,Ryan,Kalil,Panthers,C,89
Marcus McNeill,Marcus,McNeill,Chargers,LT,89
Bobbie Williams,Bobbie,Williams,Bengals,RG,89
Jason Peters,Jason,Peters,Eagles,LT,89
Dan Koppen,Dan,Koppen,Patriots,C,89
Davin Joseph,Davin,Joseph,Buccaneers,RG,88
Chad Clifton,Chad,Clifton,Packers,LT,88
Alex Mack,Alex,Mack,Browns,C,88
Mike Iupati,Mike,Iupati,49ers,LG,88
Joe Staley,Joe,Staley,49ers,LT,88
Maurkice Pouncey,Maurkice,Pouncey,Steelers,C,88
Matt Light,Matt,Light,Patriots,LT,88
Michael Oher,Michael,Oher,Ravens,RT,88
Robert Gallery,Robert,Gallery,Seahawks,LG,87
Jason Smith,Jason,Smith,Rams,RT,87
Ryan Lilja,Ryan,Lilja,Chiefs,LG,87
Brian Waters,Brian,Waters,Patriots,RG,87
Sam Baker,Sam,Baker,Falcons,LT,87
Harvey Dahl,Harvey,Dahl,Rams,RG,87
Donald Penn,Donald,Penn,Buccaneers,LT,87
Jason Brown,Jason,Brown,Rams,C,86
Nick Hardwick,Nick,Hardwick,Chargers,C,86
Branden Albert,Branden,Albert,Chiefs,LT,86
Eric Steinbach,Eric,Steinbach,Browns,LG,86
Wade Smith,Wade,Smith,Texans,LG,86
Travelle Wharton,Travelle,Wharton,Panthers,LG,85
Andrew Whitworth,Andrew,Whitworth,Bengals,LT,85
Brad Meester,Brad,Meester,Jaguars,C,85
Eben Britton,Eben,Britton,Jaguars,RT,85
Jeff Otah,Jeff,Otah,Panthers,RT,85
Jeff Faine,Jeff,Faine,Buccaneers,C,85
Marshal Yanda,Marshal,Yanda,Ravens,RG,85
Bryant McKinnie,Bryant,McKinnie,Ravens,LT,85
Andre Gurode,Andre,Gurode,Ravens,C,85
Rob Sims,Rob,Sims,Lions,LG,84
Jammal Brown,Jammal,Brown,Redskins,RT,84
Chris Williams,Chris,Williams,Bears,LG,84
Doug Free,Doug,Free,Cowboys,LT,84
Scott Wells,Scott,Wells,Packers,C,84
David Diehl,David,Diehl,Giants,LG,84
Chris Kuper,Chris,Kuper,Broncos,RG,84
Uche Nwaneri,Uche,Nwaneri,Jaguars,RG,84
Justin Blalock,Justin,Blalock,Falcons,LG,83
Jeff Backus,Jeff,Backus,Lions,LT,83
Rodger Saffold,Rodger,Saffold,Rams,LT,83
Jake Scott,Jake,Scott,Titans,RG,83
Russell Okung,Russell,Okung,Seahawks,LT,83
Casey Wiegmann,Casey,Wiegmann,Chiefs,C,83
Willie Colon,Willie,Colon,Steelers,RT,82
Andy Levitre,Andy,Levitre,Bills,LG,82
Kyle Kosier,Kyle,Kosier,Cowboys,RG,82
Bryan Bulaga,Bryan,Bulaga,Packers,RT,82
Daryn Colledge,Daryn,Colledge,Cardinals,LG,82
Olin Kreutz,Olin,Kreutz,Saints,C,82
Jared Gaither,Jared,Gaither,Chiefs,RT,82
Eugene Monroe,Eugene,Monroe,Jaguars,LT,81
Sebastian Vollmer,Sebastian,Vollmer,Patriots,RT,81
Jared Veldheer,Jared,Veldheer,Raiders,LT,81
Gabe Carimi,Gabe,Carimi,Bears,RT,80
Trent Williams,Trent,Williams,Redskins,LT,80
Leroy Harris,Leroy,Harris,Titans,LG,80
Duane Brown,Duane,Brown,Texans,LT,80
Dominic Raiola,Dominic,Raiola,Lions,C,80
Jonathan Goodwin,Jonathan,Goodwin,49ers,C,80
Louis Vasquez,Louis,Vasquez,Chargers,RG,80
Gosder Cherilus,Gosder,Cherilus,Lions,RT,80
Jermon Bushrod,Jermon,Bushrod,Saints,LT,80
Charlie Johnson,Charlie,Johnson,Vikings,LT,80
Ryan Diem,Ryan,Diem,Colts,RG,80
Richie Incognito,Richie,Incognito,Dolphins,LG,79
Chris Myers,Chris,Myers,Texans,C,79
Derek Sherrod,Derek,Sherrod,Packers,LG,79
Chris Chester,Chris,Chester,Redskins,RG,79
Mike Pouncey,Mike,Pouncey,Dolphins,C,79
Chilo Rachal,Chilo,Rachal,49ers,RG,79
Kyle Cook,Kyle,Cook,Bengals,C,78
Eric Wood,Eric,Wood,Bills,C,78
Zane Beadles,Zane,Beadles,Broncos,LG,78
Deuce Lutui,Deuce,Lutui,Cardinals,RG,78
Barry Richardson,Barry,Richardson,Chiefs,RT,78
Marc Colombo,Marc,Colombo,Dolphins,RT,78
Jamaal Jackson,Jamaal,Jackson,Eagles,C,78
Winston Justice,Winston,Justice,Eagles,RT,78
Adam Goldberg,Adam,Goldberg,Rams,RT,78
Wayne Hunter,Wayne,Hunter,Jets,RT,77
Nate Livings,Nate,Livings,Bengals,LG,77
Dennis Roland,Dennis,Roland,Bengals,RT,77
Stefen Wisniewski,Stefen,Wisniewski,Raiders,LG,77
Kasey Studdard,Kasey,Studdard,Texans,LG,77
Tony Pashos,Tony,Pashos,Browns,RT,77
Jeremy Trueblood,Jeremy,Trueblood,Buccaneers,RT,77
Rex Hadnot,Rex,Hadnot,Cardinals,RG,77
Jason Spitz,Jason,Spitz,Jaguars,LG,77
Brandon Keith,Brandon,Keith,Cardinals,RT,77
Tyron Smith,Tyron,Smith,Cowboys,RT,77
Evan Mathis,Evan,Mathis,Eagles,LG,77
Anthony Davis,Anthony,Davis,49ers,RT,77
Adam Snyder,Adam,Snyder,49ers,C,77
Cooper Carlisle,Cooper,Carlisle,Raiders,RG,76
James Carpenter,James,Carpenter,Seahawks,RT,76
Andre Smith,Andre,Smith,Bengals,RT,76
Anthony Collins,Anthony,Collins,Bengals,LT,76
Lyle Sendlein,Lyle,Sendlein,Cardinals,C,76
T.J. Lang,T.J.,Lang,Packers,LG,76
Jeromey Clary,Jeromey,Clary,Chargers,RT,76
Anthony Castonzo,Anthony,Castonzo,Colts,LT,76
Mike Pollak,Mike,Pollak,Colts,RG,76
John Jerry,John,Jerry,Dolphins,RG,76
Danny Watkins,Danny,Watkins,Eagles,RG,76
Geoff Schwartz,Geoff,Schwartz,Panthers,RG,76
Max Unger,Max,Unger,Seahawks,C,76
Ramon Foster,Ramon,Foster,Steelers,LG,75
Phil Loadholt,Phil,Loadholt,Vikings,RT,75
Nate Solder,Nate,Solder,Patriots,LT,75
Russ Hochstein,Russ,Hochstein,Broncos,RG,75
James Lee,James,Lee,Buccaneers,RT,75
Chris Kemoeatu,Chris,Kemoeatu,Steelers,LG,75
Jon Asamoah,Jon,Asamoah,Chiefs,RG,75
Matthew Slauson,Matthew,Slauson,Jets,LG,75
Kory Lichtensteiger,Kory,Lichtensteiger,Redskins,LG,75
Mike Brisiel,Mike,Brisiel,Texans,RG,75
Kyle DeVan,Kyle,DeVan,Eagles,RG,75
Stephen Peterman,Stephen,Peterman,Lions,RG,75
Stacy Andrews,Stacy,Andrews,Giants,RT,75
Chris Spencer,Chris,Spencer,Bears,C,74
Clint Boling,Clint,Boling,Bengals,LG,74
Chad Rinehart,Chad,Rinehart,Bills,LG,74
Oniel Cousins,Oniel,Cousins,Browns,RT,74
Jeremy Bridges,Jeremy,Bridges,Cardinals,RT,74
Khalif Barnes,Khalif,Barnes,Raiders,RT,74
John Moffitt,John,Moffitt,Seahawks,RG,74
Ryan O'Callaghan,Ryan,O'Callaghan,Chiefs,RT,74
Nate Garner,Nate,Garner,Dolphins,RT,74
J'Marcus Webb,J'Marcus,Webb,Bears,LT,73
Roberto Garza,Roberto,Garza,Bears,C,73
Doug Legursky,Doug,Legursky,Steelers,RG,73
Demetrius Bell,Demetrius,Bell,Bills,LT,73
John Sullivan,John,Sullivan,Vikings,C,73
Ted Larsen,Ted,Larsen,Buccaneers,LG,73
Jeremy Zuttah,Jeremy,Zuttah,Buccaneers,C,73
Floyd Womack,Floyd,Womack,Cardinals,LG,73
Jonathan Scott,Jonathan,Scott,Steelers,LT,73
Scott Mruczkowski,Scott,Mruczkowski,Chargers,C,73
Charles Brown,Charles,Brown,Saints,RT,73
Antoine Caldwell,Antoine,Caldwell,Texans,RG,73
Eugene Amano,Eugene,Amano,Titans,C,73
William Beatty,William,Beatty,Giants,LT,73
Zach Strief,Zach,Strief,Saints,RT,73
Mackenzy Bernadeau,Mackenzy,Bernadeau,Panthers,RG,73
Lance Louis,Lance,Louis,Bears,RG,72
Shawn Lauvao,Shawn,Lauvao,Browns,RG,72
John Greco,John,Greco,Browns,RG,72
Ben Ijalana,Ben,Ijalana,Colts,RT,72
Samson Satele,Samson,Satele,Raiders,C,72
Will Montgomery,Will,Montgomery,Redskins,C,72
Frank Omiyale,Frank,Omiyale,Bears,LT,71
Bruce Campbell,Bruce,Campbell,Raiders,LG,71
J.D. Walton,J.D.,Walton,Broncos,C,71
Herb Taylor,Herb,Taylor,Broncos,RT,71
Steve Vallos,Steve,Vallos,Browns,C,71
Dan Connolly,Dan,Connolly,Patriots,RG,71
Rodney Hudson,Rodney,Hudson,Chiefs,C,71
Anthony Herrera,Anthony,Herrera,Vikings,RG,71
Derrick Dockery,Derrick,Dockery,Cowboys,RG,71
Tony Wragge,Tony,Wragge,Rams,LG,71
David Baas,David,Baas,Giants,C,71
Will Rackley,Will,Rackley,Jaguars,LG,71
Vladimir Ducasse,Vladimir,Ducasse,Jets,RT,71
Corey Hilliard,Corey,Hilliard,Lions,RT,71
Trai Essex,Trai,Essex,Steelers,C,70
Chris Hairston,Chris,Hairston,Bills,RT,70
Erik Pears,Erik,Pears,Bills,RT,70
Levi Brown,Levi,Brown,Cardinals,LT,70
Jah Reid,Jah,Reid,Ravens,RT,70
Michael Otto,Michael,Otto,Titans,RT,70
Tyler Polumbus,Tyler,Polumbus,Seahawks,LT,69
Kraig Urbik,Kraig,Urbik,Bills,RG,69
Eric Young,Eric,Young,Chargers,RT,69
Garrett Reynolds,Garrett,Reynolds,Falcons,RG,69
Stephon Heyer,Stephon,Heyer,Raiders,LT,69
Greg Warren,Greg,Warren,Steelers,C,69
Sean Locklear,Sean,Locklear,Redskins,LT,69
Patrick Mannelly,Patrick,Mannelly,Bears,C,68
Jason Pinkston,Jason,Pinkston,Browns,LG,68
Ryan Durand,Ryan,Durand,Titans,RG,68
Phil Costa,Phil,Costa,Cowboys,C,68
David Arkin,David,Arkin,Cowboys,LG,68
Joe Hawley,Joe,Hawley,Falcons,C,68
Will Svitek,Will,Svitek,Falcons,RT,68
Kevin Boothe,Kevin,Boothe,Giants,LG,68
Otis Hudson,Otis,Hudson,Bengals,RG,67
Mike McGlynn,Mike,McGlynn,Bengals,RG,67
Orlando Franklin,Orlando,Franklin,Broncos,RT,67
Lonie Paxton,Lonie,Paxton,Broncos,C,67
Breno Giacomini,Breno,Giacomini,Seahawks,RT,67
Marcus Gilbert,Marcus,Gilbert,Steelers,LT,67
Steve Schilling,Steve,Schilling,Chargers,LG,67
Jamey Richard,Jamey,Richard,Colts,C,67
Ray Feinga,Ray,Feinga,Dolphins,LG,67
Patrick Brown,Patrick,Brown,Vikings,RT,67
Marcus Cannon,Marcus,Cannon,Patriots,RG,67
Tyronne Green,Tyronne,Green,Chargers,RG,66
Brandyn Dombrowski,Brandyn,Dombrowski,Chargers,LT,66
Jermey Parnell,Jermey,Parnell,Cowboys,RT,66
Bill Nagy,Bill,Nagy,Cowboys,LG,66
Ryan Cook,Ryan,Cook,Dolphins,C,66
Julian Vandervelde,Julian,Vandervelde,Eagles,LG,66
Mike Johnson,Mike,Johnson,Falcons,RG,66
Troy Kropog,Troy,Kropog,Titans,LT,66
Mike Person,Mike,Person,49ers,RT,66
Dylan Gandy,Dylan,Gandy,Lions,RG,66
Paul Fanaika,Paul,Fanaika,Seahawks,RG,65
Darryl Harris,Darryl,Harris,Chiefs,LG,65
Jeff Linkenbach,Jeff,Linkenbach,Colts,RT,65
Jason Kelce,Jason,Kelce,Eagles,C,65
King Dunlap,King,Dunlap,Eagles,LT,65
Guy Whimper,Guy,Whimper,Jaguars,LT,65
Caleb Schlauderaff,Caleb,Schlauderaff,Jets,LG,65
Chris Scott,Chris,Scott,Steelers,RT,65
Lee Ziemba,Lee,Ziemba,Panthers,RT,65
Joe Barksdale,Joe,Barksdale,Raiders,RT,65
Seth Olsen,Seth,Olsen,Vikings,LG,65
Paul McQuistan,Paul,McQuistan,Seahawks,LG,65
Chris Scott,Chris,Scott,Steelers,RT,65
Seth Olsen,Seth,Olsen,Vikings,LG,65
Ryan Pontbriand,Ryan,Pontbriand,Browns,C,64
Derek Hardman,Derek,Hardman,Buccaneers,RG,64
Joe Reitz,Joe,Reitz,Colts,LG,64
Bryan Mattison,Bryan,Mattison,Ravens,RG,64
Brian De La Puente,Brian,De La Puente,Saints,LG,64
Lemuel Jeanpierre,Lemuel,Jeanpierre,Seahawks,C,64
Brandon Fusco,Brandon,Fusco,Vikings,C,64
Jon Cooper,Jon,Cooper,Vikings,C,64
Rashad Butler,Rashad,Butler,Texans,LT,63
Jason Fox,Jason,Fox,Lions,LT,63
Marshall Newhouse,Marshall,Newhouse,Packers,RT,63
Ryan McKee,Ryan,McKee,Rams,LT,63
Drew Miller,Drew,Miller,Rams,C,63
Eric Olsen,Eric,Olsen,Redskins,RG,63
Kevin Matthews,Kevin,Matthews,Titans,C,63
John Estes,John,Estes,Jaguars,C,62
Kevin Haslam,Kevin,Haslam,Jaguars,RG,62
Cameron Bradfield,Cameron,Bradfield,Jaguars,RT,62
Evan Dietrich-Smith,Evan,Dietrich-Smith,Packers,C,62
Byron Bell,Byron,Bell,Panthers,LG,62
Maurice Hurt,Maurice,Hurt,Redskins,LG,62
Byron Stingily,Byron,Stingily,Titans,RT,62
Levi Horn,Levi,Horn,Bears,RG,61
Chris Clark,Chris,Clark,Broncos,LT,61
Andrew Economos,Andrew,Economos,Buccaneers,C,61
Rob Bruggeman,Rob,Bruggeman,Falcons,C,61
Robert Turner,Robert,Turner,Jets,RG,61
Dan Gerberry,Dan,Gerberry,Lions,C,61
D'Anthony Batiste,D'Anthony,Batiste,Cardinals,LT,60
Sam Young,Sam,Young,Cowboys,LT,60
Daniel Kilgore,Daniel,Kilgore,49ers,LG,60
Mark LeVoir,Mark,LeVoir,Ravens,LT,60
Willie Smith,Willie,Smith,Redskins,RT,60
Edwin Williams,Edwin,Williams,Bears,LG,59
Manny Ramirez,Manny,Ramirez,Broncos,C,59
Brett Goode,Brett,Goode,Packers,C,59
C.J. Davis,C.J.,Davis,Panthers,C,59
DeMarcus Love,DeMarcus,Love,Vikings,LT,59
Thomas Austin,Thomas,Austin,Texans,LG,59
Garrison Sanborn,Garrison,Sanborn,Bills,C,58
Erik Cook,Erik,Cook,Redskins,C,58
Steve Maneri,Steve,Maneri,Chiefs,LT,57
Colin Baxter,Colin,Baxter,Jets,C,57
Ryan Wendell,Ryan,Wendell,Patriots,C,57
Kevin Kowalski,Kevin,Kowalski,Cowboys,C,56
J.J. Jansen,J.J.,Jansen,Panthers,C,56
Ramon Harewood,Ramon,Harewood,Ravens,LT,56
Nick Sundberg,Nick,Sundberg,Redskins,C,56
Demar Dotson,Demar,Dotson,Buccaneers,LT,55
Fernando Velasco,Fernando,Velasco,Titans,LG,54
Colin Brown,Colin,Brown,Bills,RG,52
Alex Boone,Alex,Boone,49ers,LT,52
Patrick Willis,Patrick,Willis,49ers,MLB,98
DeMarcus Ware,DeMarcus,Ware,Cowboys,ROLB,98
James Harrison,James,Harrison,Steelers,ROLB,98
Jon Beason,Jon,Beason,Panthers,MLB,97
Ray Lewis,Ray,Lewis,Ravens,MLB,95
Clay Matthews,Clay,Matthews,Packers,LOLB,95
Terrell Suggs,Terrell,Suggs,Ravens,ROLB,94
Brian Urlacher,Brian,Urlacher,Bears,MLB,94
Lance Briggs,Lance,Briggs,Bears,ROLB,93
LaMarr Woodley,LaMarr,Woodley,Steelers,LOLB,93
David Harris,David,Harris,Jets,MLB,92
London Fletcher,London,Fletcher,Redskins,MLB,91
Jonathan Vilma,Jonathan,Vilma,Saints,MLB,91
Tamba Hali,Tamba,Hali,Chiefs,ROLB,91
Shaun Phillips,Shaun,Phillips,Chargers,LOLB,91
James Farrior,James,Farrior,Steelers,MLB,91
Jerod Mayo,Jerod,Mayo,Patriots,LOLB,90
Karlos Dansby,Karlos,Dansby,Dolphins,MLB,90
Lawrence Timmons,Lawrence,Timmons,Steelers,MLB,90
Chad Greenway,Chad,Greenway,Vikings,ROLB,90
Curtis Lofton,Curtis,Lofton,Falcons,MLB,90
Bart Scott,Bart,Scott,Jets,MLB,90
D.J. Williams,D.J.,Williams,Broncos,LOLB,89
Mario Williams,Mario,Williams,Texans,ROLB,89
DeMeco Ryans,DeMeco,Ryans,Texans,MLB,89
Cameron Wake,Cameron,Wake,Dolphins,ROLB,89
Daryl Smith,Daryl,Smith,Jaguars,LOLB,89
E.J. Henderson,E.J.,Henderson,Vikings,MLB,88
Nick Barnett,Nick,Barnett,Bills,MLB,88
Brian Orakpo,Brian,Orakpo,Redskins,ROLB,88
James Laurinaitis,James,Laurinaitis,Rams,MLB,87
James Anderson,James,Anderson,Panthers,ROLB,87
Takeo Spikes,Takeo,Spikes,Chargers,MLB,87
Paul Posluszny,Paul,Posluszny,Jaguars,MLB,87
Kamerion Wimbley,Kamerion,Wimbley,Raiders,ROLB,87
Gary Brackett,Gary,Brackett,Colts,MLB,86
Derrick Johnson,Derrick,Johnson,Chiefs,MLB,86
Brian Cushing,Brian,Cushing,Texans,MLB,86
Barrett Ruud,Barrett,Ruud,Titans,MLB,86
Stephen Tulloch,Stephen,Tulloch,Lions,ROLB,85
A.J. Hawk,A.J.,Hawk,Packers,MLB,85
Will Witherspoon,Will,Witherspoon,Titans,ROLB,84
David Hawthorne,David,Hawthorne,Seahawks,MLB,84
Calvin Pace,Calvin,Pace,Jets,ROLB,84
Keith Rivers,Keith,Rivers,Bengals,ROLB,84
Bradie James,Bradie,James,Cowboys,MLB,83
Thomas Davis,Thomas,Davis,Panthers,LOLB,83
Rey Maualuga,Rey,Maualuga,Bengals,MLB,83
Stephen Cooper,Stephen,Cooper,Chargers,MLB,83
D'Qwell Jackson,D'Qwell,Jackson,Browns,MLB,83
Desmond Bishop,Desmond,Bishop,Packers,MLB,82
Scott Fujita,Scott,Fujita,Browns,ROLB,82
Geno Hayes,Geno,Hayes,Buccaneers,ROLB,82
Rolando McClain,Rolando,McClain,Raiders,MLB,82
Ben Leber,Ben,Leber,Rams,LOLB,82
Aaron Curry,Aaron,Curry,Seahawks,LOLB,82
Keith Brooking,Keith,Brooking,Cowboys,MLB,82
Justin Durant,Justin,Durant,Lions,LOLB,82
Anthony Spencer,Anthony,Spencer,Cowboys,LOLB,82
Mike Peterson,Mike,Peterson,Falcons,ROLB,82
Jarret Johnson,Jarret,Johnson,Ravens,LOLB,81
Shawne Merriman,Shawne,Merriman,Bills,ROLB,81
Joey Porter,Joey,Porter,Cardinals,ROLB,81
Rocky McIntosh,Rocky,McIntosh,Redskins,MLB,81
Larry Foote,Larry,Foote,Steelers,MLB,81
Jason Taylor,Jason,Taylor,Dolphins,LOLB,81
Clint Session,Clint,Session,Jaguars,ROLB,81
Manny Lawson,Manny,Lawson,Bengals,LOLB,80
Michael Boley,Michael,Boley,Giants,LOLB,80
Dan Connor,Dan,Connor,Panthers,MLB,80
Stewart Bradley,Stewart,Bradley,Cardinals,MLB,80
Bryan Thomas,Bryan,Thomas,Jets,LOLB,80
Jameel McClain,Jameel,McClain,Ravens,MLB,79
Brandon Spikes,Brandon,Spikes,Patriots,MLB,79
Kirk Morrison,Kirk,Morrison,Bills,MLB,79
Von Miller,Von,Miller,Broncos,ROLB,79
Chris Gocong,Chris,Gocong,Browns,LOLB,79
Quincy Black,Quincy,Black,Buccaneers,LOLB,79
Jonathan Goff,Jonathan,Goff,Giants,MLB,79
LeRoy Hill,LeRoy,Hill,Seahawks,ROLB,79
Mario Haggan,Mario,Haggan,Broncos,MLB,78
Clark Haggans,Clark,Haggans,Cardinals,LOLB,78
Paris Lenon,Paris,Lenon,Cardinals,MLB,78
Scott Shanle,Scott,Shanle,Saints,ROLB,78
Rob Ninkovich,Rob,Ninkovich,Patriots,ROLB,78
Parys Haralson,Parys,Haralson,49ers,ROLB,78
Gary Guyton,Gary,Guyton,Patriots,ROLB,77
Koa Misi,Koa,Misi,Dolphins,LOLB,77
DeAndre Levy,DeAndre,Levy,Lions,MLB,77
Thomas Howard,Thomas,Howard,Bengals,ROLB,76
Andra Davis,Andra,Davis,Bills,MLB,76
Aldon Smith,Aldon,Smith,49ers,ROLB,76
Joe Mays,Joe,Mays,Broncos,MLB,76
Ahmad Brooks,Ahmad,Brooks,49ers,LOLB,76
Demorrio Williams,Demorrio,Williams,Chiefs,MLB,76
Jovan Belcher,Jovan,Belcher,Chiefs,MLB,76
Stephen Nicholas,Stephen,Nicholas,Falcons,LOLB,76
Kevin Burnett,Kevin,Burnett,Dolphins,MLB,76
Moise Fokou,Moise,Fokou,Eagles,ROLB,76
Lorenzo Alexander,Lorenzo,Alexander,Redskins,LOLB,75
Andy Studebaker,Andy,Studebaker,Chiefs,LOLB,75
Pat Angerer,Pat,Angerer,Colts,LOLB,75
Ernie Sims,Ernie,Sims,Colts,ROLB,75
Sean Weatherspoon,Sean,Weatherspoon,Falcons,ROLB,75
Gerald McRath,Gerald,McRath,Titans,ROLB,75
Lorenzo Alexander,Lorenzo,Alexander,Redskins,LOLB,75
Brad Jones,Brad,Jones,Packers,LOLB,74
Daryl Washington,Daryl,Washington,Cardinals,MLB,74
Jason Trusnik,Jason,Trusnik,Dolphins,ROLB,74
Akeem Jordan,Akeem,Jordan,Eagles,ROLB,74
Ryan Kerrigan,Ryan,Kerrigan,Redskins,LOLB,74
Larry English,Larry,English,Chargers,ROLB,73
Connor Barwin,Connor,Barwin,Texans,LOLB,73
Sean Lee,Sean,Lee,Cowboys,MLB,73
Ikaika Alama-Francis,Ikaika,Alama-Francis,Dolphins,LOLB,73
NaVorro Bowman,NaVorro,Bowman,49ers,MLB,73
Keyaron Fox,Keyaron,Fox,Redskins,MLB,73
Bobby Carpenter,Bobby,Carpenter,Lions,LOLB,73
Donald Butler,Donald,Butler,Chargers,MLB,72
Quentin Groves,Quentin,Groves,Raiders,LOLB,72
Jamar Chaney,Jamar,Chaney,Eagles,LOLB,72
Akeem Ayers,Akeem,Ayers,Titans,LOLB,72
Dannell Ellerbe,Dannell,Ellerbe,Ravens,MLB,72
Mathias Kiwanuka,Mathias,Kiwanuka,Giants,ROLB,72
Chris Kelsay,Chris,Kelsay,Bills,LOLB,71
Erik Walden,Erik,Walden,Packers,ROLB,71
Travis LaBoy,Travis,LaBoy,Chargers,ROLB,71
Antwan Barnes,Antwan,Barnes,Chargers,LOLB,71
Zak DeOssie,Zak,DeOssie,Giants,ROLB,71
Paul Kruger,Paul,Kruger,Ravens,ROLB,71
Nick Roach,Nick,Roach,Bears,LOLB,70
Bryan Kehl,Bryan,Kehl,Rams,ROLB,70
Zac Diles,Zac,Diles,Buccaneers,MLB,70
O'Brien Schofield,O'Brien,Schofield,Cardinals,ROLB,70
Martez Wilson,Martez,Wilson,Saints,LOLB,70
Philip Wheeler,Philip,Wheeler,Colts,LOLB,70
Casey Matthews,Casey,Matthews,Eagles,MLB,70
Larry Grant,Larry,Grant,49ers,MLB,70
Brady Poppinga,Brady,Poppinga,Rams,LOLB,70
Frank Zombo,Frank,Zombo,Packers,ROLB,70
Ricky Brown,Ricky,Brown,Raiders,MLB,70
Sergio Kindle,Sergio,Kindle,Ravens,LOLB,70
Erin Henderson,Erin,Henderson,Vikings,LOLB,69
Jo-Lonn Dunbar,Jo-Lonn,Dunbar,Saints,MLB,69
Kaluka Maiava,Kaluka,Maiava,Browns,LOLB,69
Victor Butler,Victor,Butler,Cowboys,LOLB,69
Tavares Gooden,Tavares,Gooden,49ers,MLB,69
Russell Allen,Russell,Allen,Jaguars,MLB,69
Chris Chamberlain,Chris,Chamberlain,Rams,ROLB,69
Will Herring,Will,Herring,Saints,LOLB,69
Arthur Moats,Arthur,Moats,Bills,MLB,68
Brooks Reed,Brooks,Reed,Texans,LOLB,68
Adam Hayward,Adam,Hayward,Buccaneers,ROLB,68
Darryl Sharpton,Darryl,Sharpton,Texans,MLB,68
Kelvin Sheppard,Kelvin,Sheppard,Bills,MLB,67
Mason Foster,Mason,Foster,Buccaneers,MLB,67
Colin McCarthy,Colin,McCarthy,Titans,MLB,67
Kavell Conner,Kavell,Conner,Colts,ROLB,67
Tim Dobbins,Tim,Dobbins,Texans,MLB,67
Reggie Torbor,Reggie,Torbor,Bills,MLB,66
Wesley Woodyard,Wesley,Woodyard,Broncos,LOLB,66
Bruce Carter,Bruce,Carter,Cowboys,MLB,66
Xavier Adibi,Xavier,Adibi,Vikings,MLB,66
Keenan Clayton,Keenan,Clayton,Eagles,LOLB,66
