Geographic Location,county,state,poverty_pct,med_income
"Loma Rica, CA", Yuba County, CA,17.2,"$47,504"
"Miami, FL", Miami-Dade County, FL,16.0,"$52,043"
"Seattle, WA", King County, WA,9.2,"$94,822"
"Whitehouse, TX", Smith County, TX,15.0,"$56,848"
"Sacramento, CA", Sacramento County, CA,14.3,"$69,475"
"Greenville, AL", Williamson County, AL,6.4,"$87,817"
"Lilburn, GA", Gwinnett County, GA,9.2,"$72,008"
"Clinton, MS", Worcester County, MS,9.0,"$71,767"
"Saraland, AL", Mobile County, AL,20.8,"$43,598"
"Hazlehurst, MS", Copiah County, MS,26.5,"$38,664"
"Starkville, MS", Oktibbeha County, MS,27.3,"$39,130"
"Florence, AL", Bexar County, AL,17.2,"$54,210"
"Frederick, MD", Frederick County, MD,7.0,"$77,684"
"Jasper, AL", Walker County, AL,26.1,"$43,681"
"Saint Louis, MO",,,,"$100,075"
"Lakewood, CA", Los Angeles County, CA,14.2,"$67,986"
"Antioch, CA", Contra Costa County, CA,7.8,"$101,463"
"Joshua, TX", Johnson County, TX,10.3,"$57,676"
"Corona, CA", Riverside County, CA,12.7,"$66,793"
"Pacoima, CA", Los Angeles County, CA,14.2,"$67,986"
"West Valley, UT", Armstrong County, UT,10.7,"$57,210"
"Orinda, CA", Contra Costa County, CA,7.8,"$101,463"
"Wedowee, AL", Randolph County, AL,19.4,"$40,064"
"Saint Petersburg, FL", Pinellas County, FL,11.7,"$52,226"
"Chico, CA", Butte County, CA,14.3,"$44,388"
"Olive Branch, MS", DeSoto County, MS,9.0,"$68,126"
"Loveland, CO", Larimer County, CO,10.5,"$71,306"
"Dania Beach, FL", Broward County, FL,12.6,"$57,200"
"Maple City, MI", Leelanau County, MI,7.0,"$67,349"
"Morristown, NJ", Morris County, NJ,20.2,"$41,418"
"Mendota Heights, MN", Dakota County, MN,12.4,"$55,522"
"Chicago Heights, IL", Cook County, IL,9.6,"$54,465"
"Spotswood, NJ", Middlesex County, NJ,12.7,"$54,871"
"Mckinney, TX", Collin County, TX,6.4,"$96,936"
"Uniontown, PA", Fayette County, PA,22.5,"$37,867"
"Lexington Park, MD", Saint Mary's County, MD,,"$100,075"
"Pittsburgh, PA", Allegheny County, PA,11.7,"$59,881"
"Commerce, TX", Hunt County, TX,13.6,"$53,360"
"Dickinson, TX", Galveston County, TX,12.1,"$71,959"
"Snellville, GA", Gwinnett County, GA,9.2,"$72,008"
"Shelby Twp, MI", Oceana County, MI,15.5,"$50,374"
"San Marcos, TX", Hays County, TX,13.2,"$68,180"
"Cibolo, TX", Guadalupe County, TX,8.5,"$73,864"
"Shawnee, KS",Shawnee County, KS,13.9,"$53,612"
"Bethlehem, PA", Northampton County, PA,18.8,"$43,157"
"Newport Beach, CA", Orange County, CA,9.4,"$63,681"
"West Bountiful, UT",,,,"$100,075"
"Sterling, UT", Sanpete County, UT,14.8,"$52,910"
"Gulf Breeze, FL", Santa Rosa County, FL,9.5,"$69,541"
"Dayton, OH", Montgomery County, OH,24.1,"$52,538"
"Montgomery Village, MD", Montgomery County, MD,24.1,"$52,538"
"Union, MS", Salt Lake County, MS,9.0,"$73,619"
"Bossier City, LA", Bossier Parish, LA,14.4,"$56,754"
"Yorba Linda, CA", Orange County, CA,9.4,"$63,681"
"Bentonia, MS", Yazoo County, MS,37.1,"$33,111"
"Wilmington, NC", New Hanover County, NC,15.3,"$53,419"
"Visalia, CA", Tulare County, CA,22.2,"$48,763"
"Denton, TX",Denton County, TX,7.3,"$88,384"
"Holden, LA", Johnson County, LA,10.3,"$57,676"
"Anaheim, CA", Orange County, CA,9.4,"$63,681"
"Hendersonville, TN", Sumner County, TN,8.9,"$66,171"
"Moreno Valley, CA", Riverside County, CA,12.7,"$66,793"
"Redmond, WA", King County, WA,9.2,"$94,822"
"Pleasant Grove, UT", Utah County, UT,9.4,"$75,296"
"El Segundo, CA", Los Angeles County, CA,14.2,"$67,986"
"Diamond Bar, CA", Los Angeles County, CA,14.2,"$67,986"
"Algona, IA", Kossuth County, IA,10.1,"$55,486"
"London, ", Laurel County, ,20.6,"$41,425"
"Madison, WI", Dane County, WI,10.8,"$71,789"
"Kenner, LA", Jefferson Parish, LA,15.6,"$50,871"
"La Puente, CA", Los Angeles County, CA,14.2,"$67,986"
"Birmingham, AL", Jefferson County, AL,8.1,"$65,831"
"Achern, ",,,,"$100,075"
"Houston, TX", Harris County, TX,16.5,"$60,241"
"Van Vleck, TX", Matagorda County, TX,18.4,"$48,830"
"Darien, CT", Monmouth County, CT,6.7,"$99,223"
"Lowell, MA", Middlesex County, MA,12.7,"$54,871"
"Spring Valley, NY", Rockland County, NY,13.9,"$88,960"
"Columbia, MO", Boone County, MO,22.5,"$38,110"
"Zeeland, MI", Ottawa County, MI,20.6,"$38,194"
"Kennesaw, GA", Cobb County, GA,9.1,"$78,603"
"Carrollton, TX", Dallas County, TX,14.2,"$59,838"
"Garden City, KS", Finney County, KS,13.2,"$56,206"
"La Canada Flintridge, CA", Los Angeles County, CA,14.2,"$67,986"
"Palm Springs, CA", Riverside County, CA,12.7,"$66,793"
"Canadian, TX", Hemphill County, TX,9.6,"$66,849"
"Annapolis, MD", Anne Arundel County, MD,7.0,"$97,051"
"Allen, TX", Collin County, TX,6.4,"$96,936"
"Austintown, OH", Mahoning County, OH,16.5,"$48,010"
"Rubidoux, CA", Riverside County, CA,12.7,"$66,793"
"Murrieta, CA", Riverside County, CA,12.7,"$66,793"
"Las Vegas, NV", Clark County, NV,11.9,"$55,245"
