id,full_name,first_name,last_name,position,position_group,section,college,draft_year,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons
3125082.0,Dalton Risner,Dalton,Risner,OT,OL,O,Kansas State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3930064.0,Damarkus Lodge,Damarkus,Lodge,WR,WR,O,Ole Miss,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,877,65,0,0,0,65,4,877,1
4241457.0,Damien Harris,Damien,Harris,RB,RB,O,Alabama,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,54,2,407,52,477,23,3070,529,25,3477,4,0,0,0,0,0,0,0,0,0,0,0
3925347.0,Damien Harris,Damien,Harris,RB,RB,O,Alabama,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,54,2,407,52,477,23,3070,529,25,3477,4,0,0,0,0,0,0,0,0,0,0,0
3929801.0,Dan Godsil,Dan,Godsil,LS,LS,ST,Indiana,2019,1,0,0,0,0,7,0,0,0,0.0,0,0.0,3,7,8,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Daniel Helm,Daniel,Helm,TE,TE,O,Duke,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,6,804,75,0,0,0,75,6,804,5
3917792.0,Daniel Jones,Daniel,Jones,QB,QB,O,Duke,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1275,180.0,764,36,29,52,8201,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3133368.0,Daniel Wise,Daniel,Wise,DL,DL,D,Kansas,2019,44,2,1,0,0,42,0,0,0,43.0,2,17.0,4,108,152,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3916945.0,Darius Slayton,Darius,Slayton,WR,WR,O,Auburn,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,11,1605,79,0,0,0,79,11,1605,4
3126322.0,Darius West,Darius,West,S,DB,D,Kentucky,2019,72,2,1,1,0,32,4,0,72,4.5,7,0.0,3,116,188,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Darnell Savage,Darnell,Savage,S,DB,D,Maryland,2019,43,0,1,0,0,40,8,2,153,9.0,13,1.0,4,139,182,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4039359.0,Darrell Henderson,Darrell,Henderson,RB,RB,O,Memphis,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,38,8,758,63,431,36,3545,494,44,4303,3,0,0,0,0,0,0,0,0,0,0,0
3916151.0,Darrell Henderson,Darrell,Henderson,RB,RB,O,Memphis,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,38,8,758,63,431,36,3545,494,44,4303,3,0,0,0,0,0,0,0,0,0,0,0
3957672.0,Darryl Johnson,Darryl,Johnson,DE,DL,D,North Carolina A&T,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,555,37,1,0,4,38,1,559,2
3929849.0,Davante Davis,Davante,Davis,CB,DB,D,Texas,2019,15,3,1,0,0,35,4,0,17,7.0,20,0.0,4,102,117,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
547322.0,Davante Davis,Davante,Davis,CB,DB,D,Texas,2019,15,3,1,0,0,35,4,0,17,7.0,20,0.0,4,102,117,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3917660.0,David Edwards,David,Edwards,OT,OL,O,Wisconsin,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,David Long,David,Long,OLB,LB,D,West Virginia,2019,16,0,0,0,0,24,3,0,120,2.0,12,0.5,2,21,37,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4046536.0,David Long,David,Long,CB,DB,D,Michigan,2019,16,0,0,0,0,24,3,0,120,2.0,12,0.5,2,21,37,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4035538.0,David Montgomery,David,Montgomery,RB,RB,O,Iowa State,2019,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,37,0,582,71,624,26,2925,695,26,3507,3,0,0,0,0,0,0,0,0,0,0,0
