full_name,first_name,last_name,college,draft_year,position,position_group,section,forty,vertical,bench,broad,threecone,shuttle
Mike Edwards,Mike,Edwards,Kentucky,2019,S,DB,D,,,,,,
Mike Jackson,Mike,Jackson,Miami,2019,CB,DB,D,4.45,40.5,13.0,130.0,7.12,4.12
Mike Weber,Mike,Weber,Ohio St.,2019,RB,RB,O,4.47,33.5,22.0,,,
Miles Boykin,Miles,Boykin,Notre Dame,2019,WR,WR,O,4.42,43.5,12.0,140.0,6.77,4.07
Miles Sanders,Miles,Sanders,Penn St.,2019,RB,RB,O,4.49,36.0,20.0,124.0,6.89,4.19
Mitch Hyatt,Mitch,Hyatt,Clemson,2019,OT,OL,O,,25.5,28.0,102.0,7.72,4.52
Montez Sweat,Montez,Sweat,Mississippi St.,2019,DE,DL,D,4.41,36.0,21.0,125.0,7.0,4.29
Montre Hartage,Montre,Hartage,Northwestern,2019,CB,DB,D,4.68,34.5,9.0,123.0,6.95,4.08
Myles Gaskin,Myles,Gaskin,Washington,2019,RB,RB,O,4.58,35.5,24.0,118.0,7.19,4.27
Nate Davis,Nate,Davis,Charlotte,2019,OT,OL,O,5.23,26.0,23.0,107.0,7.94,4.83
Nate Hall,Nate,Hall,Northwestern,2019,OLB,LB,D,,,,,,
Nate Herbig,Nate,Herbig,Stanford,2019,OT,OL,O,5.41,24.0,29.0,90.0,8.15,5.04
Nick Bosa,Nick,Bosa,Ohio St.,2019,DL,DL,D,4.79,33.5,29.0,116.0,7.1,4.14
Nick Brossette,Nick,Brossette,LSU,2019,RB,RB,O,4.72,35.5,15.0,118.0,7.38,4.44
Nick Fitzgerald,Nick,Fitzgerald,Mississippi St.,2019,QB,QB,O,4.64,29.5,,115.0,,
Nkeal Harry,Nkeal,Harry,Arizona State,2019,WR,WR,O,4.53,38.5,27.0,122.0,,
Noah Fant,Noah,Fant,Iowa,2019,TE,TE,O,4.5,39.5,20.0,127.0,6.81,4.22
Nyqwan Murray,Nyqwan,Murray,Florida St.,2019,WR,WR,O,4.63,34.0,8.0,113.0,7.2,4.4
Oshane Ximines,Oshane,Ximines,Old Dominion,2019,DE,DL,D,4.78,34.0,24.0,118.0,7.13,4.57
Otaro Alaka,Otaro,Alaka,Texas A&M,2019,OLB,LB,D,4.82,36.0,20.0,131.0,,
Parris Campbell,Parris,Campbell,Ohio St.,2019,WR,WR,O,4.31,40.0,11.0,135.0,,4.03
Phil Haynes,Phil,Haynes,Wake Forest,2019,OT,OL,O,5.2,31.0,33.0,108.0,7.76,4.95
Porter Gustin,Porter,Gustin,USC,2019,DE,DL,D,4.69,35.5,31.0,119.0,,
Qadree Ollison,Qadree,Ollison,Pittsburgh,2019,RB,RB,O,4.58,29.5,19.0,114.0,7.53,4.31
Quinnen Williams,Quinnen,Williams,Alabama,2019,DL,DL,D,4.83,30.5,,112.0,,
Rashad Fenton,Rashad,Fenton,South Carolina,2019,CB,DB,D,4.52,34.0,12.0,117.0,,4.25
Rashan Gary,Rashan,Gary,Michigan,2019,DL,DL,D,4.58,38.0,26.0,120.0,7.26,4.29
Renell Wren,Renell,Wren,Arizona State,2019,DL,DL,D,5.01,32.0,30.0,118.0,7.65,4.53
Riley Ridley,Riley,Ridley,Georgia,2019,WR,WR,O,4.58,30.5,13.0,124.0,7.22,4.28
Rock Ya-Sin,Rock,Ya-Sin,Temple,2019,CB,DB,D,4.51,39.5,18.0,120.0,7.31,4.31
Rodney Anderson,Rodney,Anderson,Oklahoma,2019,RB,RB,O,,,25.0,,,
Ross Pierschbacher,Ross,Pierschbacher,Alabama,2019,OT,OL,O,5.2,22.5,20.0,,7.83,4.7
Ryan Bates,Ryan,Bates,Penn St.,2019,OT,OL,O,5.09,27.0,28.0,102.0,7.45,4.53
Ryan Connelly,Ryan,Connelly,Wisconsin,2019,OLB,LB,D,4.66,34.5,,118.0,7.09,4.31
Ryan Davis,Ryan,Davis,Auburn,2019,WR,WR,O,,35.0,12.0,124.0,7.09,4.23
