fms_city_id,city_state,county,state,poverty_pct,med_income
2527.0,"Palm Springs, CA", Riverside County, CA,12.7,"$66,793"
467.0,"Canadian, TX", Hemphill County, TX,9.6,"$66,849"
49.0,"Allen, TX", Collin County, TX,6.4,"$96,936"
163.0,"Austintown, OH", Mahoning County, OH,16.5,"$48,010"
2865.0,"Rubidoux, CA", Riverside County, CA,12.7,"$66,793"
2270.0,"Murrieta, CA", Riverside County, CA,12.7,"$66,793"
536.0,"Central Valley, NY", Orange County, NY,9.4,"$63,681"
3090.0,"South Jordan, UT", Salt Lake County, UT,9.0,"$73,619"
2061.0,"Mcallen, TX", Hidalgo County, TX,30.0,"$38,785"
1981.0,"Managua, ",,,,"$100,075"
3242.0,"Temecula, CA", Riverside County, CA,12.7,"$66,793"
2165.0,"Mishawaka, IN", Saint Joseph County, IN,,"$100,075"
921.0,"El Dorado, AR", Union County, AR,19.8,"$40,322"
1962.0,"Madill, OK", Marshall County, OK,13.9,"$50,064"
2949.0,"Santa Clarita, CA", Los Angeles County, CA,14.2,"$67,986"
1417.0,"Hilo, HI", Hawaiʻi County, HI,,"$100,075"
2020.0,"Marina Del Rey, CA", Los Angeles County, CA,14.2,"$67,986"
3269.0,"Tigard, OR", Washington County, OR,4.5,"$75,799"
2066.0,"Mcdonough, GA", Henry County, GA,20.0,"$36,471"
2990.0,"Sebastopol, CA", Sonoma County, CA,9.9,"$81,002"
3439.0,"Watsonville, CA", Santa Cruz County, CA,12.2,"$84,213"
39.0,"Aldie, VA", Loudoun County, VA,3.6,"$140,382"
3369.0,"Victorville, CA", San Bernardino County, CA,14.9,"$63,310"
3097.0,"Southaven, MS", DeSoto County, MS,9.0,"$68,126"
1416.0,"Hillside, NJ", Union County, NJ,19.8,"$40,322"
1690.0,"La Habra, CA", Orange County, CA,9.4,"$63,681"
1872.0,"Livonia, MI", Wayne County, MI,20.9,"$38,704"
2965.0,"Sartell, MN", Stearns County, MN,12.4,"$60,843"
470.0,"Canfield, OH", Mahoning County, OH,16.5,"$48,010"
3070.0,"Solihull, ", Upshur County, ,19.0,"$41,213"
2628.0,"Pinola, MS", Simpson County, MS,19.8,"$38,173"
3497.0,"West Palm Beach, FL", Palm Beach County, FL,12.2,"$61,735"
2188.0,"Monroe, WA", Snohomish County, WA,7.5,"$87,096"
2646.0,"Plano, TX", Collin County, TX,6.4,"$96,936"
1122.0,"Frisco, TX", Collin County, TX,6.4,"$96,936"
1078.0,"Fort Myers, FL", Lee County, FL,24.8,"$34,796"
2858.0,"Round Rock, TX", Williamson County, TX,6.4,"$87,817"
115.0,"Arlington, TX", Tarrant County, TX,12.1,"$66,059"
1841.0,"Liberty Hill, TX", Williamson County, TX,6.4,"$87,817"
2044.0,"Mascotte, FL", Lake County, FL,36.5,"$33,709"
2916.0,"San Angelo, TX", Tom Green County, TX,15.5,"$51,393"
394.0,"Brooklyn Park, MN", Hennepin County, MN,10.3,"$76,067"
3279.0,"Topeka, KS", Shawnee County, KS,13.9,"$53,612"
3127.0,"Springdale, AR", Washington County, AR,4.5,"$75,799"
1666.0,"Kingston, GA", Bartow County, GA,12.2,"$57,409"
3340.0,"Valdosta, GA", Lowndes County, GA,23.1,"$44,348"
1289.0,"Grove, OK", Delaware County, OK,8.8,"$71,961"
3599.0,"Woodland, CA", Yolo County, CA,20.1,"$67,804"
1651.0,"Kihei, HI", Maui County, HI,8.6,"$78,503"
590.0,"Chino Hills, CA", San Bernardino County, CA,14.9,"$63,310"
1032.0,"Fitzgerald, GA", Ben Hill County, GA,26.2,"$35,020"
1720.0,"Lake Alfred, FL", Polk County, FL,9.6,"$59,990"
2777.0,"Reynoldsburg, OH", Franklin County, OH,13.4,"$60,483"
1054.0,"Folsom, CA", Sacramento County, CA,14.3,"$69,475"
2818.0,"Robbinsdale, MN", Hennepin County, MN,10.3,"$76,067"
495.0,"Carroll, IA",Carroll County, IA,15.7,"$41,517"
57.0,"Alpharetta, GA", Fulton County, GA,11.5,"$52,277"
3155.0,"Statesville, NC", Iredell County, NC,9.5,"$60,044"
308.0,"Bloomfield, CT", Midland County, CT,10.1,"$80,189"
3433.0,"Waterbury, CT", Monmouth County, CT,6.7,"$99,223"
1818.0,"Lehi, UT", Utah County, UT,9.4,"$75,296"
441.0,"Cache, OK", Comanche County, OK,16.4,"$52,251"
226.0,"Beckley, WV", Raleigh County, WV,20.7,"$41,298"
2068.0,"Mchenry, IL",McHenry County, IL,11.9,"$54,795"
506.0,"Cary, NC", Wake County, NC,8.4,"$80,169"
830.0,"Denver, NC", Lincoln County, NC,7.9,"$69,598"
2511.0,"Pacific, MO", Franklin County, MO,13.4,"$60,483"
2565.0,"Pearland, TX", Brazoria County, TX,10.1,"$74,225"
1973.0,"Magnolia, TX", Montgomery County, TX,24.1,"$52,538"
1937.0,"Lufkin, TX", Angelina County, TX,17.9,"$46,653"
2726.0,"Putnam, OK", Dewey County, OK,25.8,"$41,942"
1991.0,"Mandeville, LA", St. Tammany Parish, LA,11.8,"$67,054"
2562.0,"Peachtree City, GA", Fayette County, GA,22.5,"$37,867"
3044.0,"Silver Spring, MD", Montgomery County, MD,24.1,"$52,538"
1765.0,"Lansdale, PA", Montgomery County, PA,24.1,"$52,538"
