fms_id,forty,vertical,bench,broad,threecone,shuttle,defense_ast_tackles,defense_fum_forced,defense_fum_rec,defense_fum_tds,defense_fum_yds,defense_games,defense_int,defense_int_td,defense_int_yards,defense_loss_tackles,defense_pd,defense_sacks,defense_seasons,defense_solo_tackes,defense_tackles,passing_attempts,passing_comp_pct,passing_completions,passing_games,passing_pass_ints,passing_pass_tds,passing_pass_yards,passing_seasons,rushing_games,rushing_rec_td,rushing_rec_yards,rushing_receptions,rushing_rush_att,rushing_rush_td,rushing_rush_yds,rushing_scrim_plays,rushing_scrim_tds,rushing_scrim_yds,rushing_seasons,receiving_games,receiving_rec_td,receiving_rec_yards,receiving_receptions,receiving_rush_att,receiving_rush_td,receiving_rush_yds,receiving_scrim_plays,receiving_scrim_tds,receiving_scrim_yds,receiving_seasons,max_madden
1124,4.54,29.5,,122.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,17,2923,194,9,0,59,203,17,2982,4,
1132,4.59,29.0,19.0,111.0,6.94,4.44,77,0,1,1,5,40,5,1,60,1.5,2,0.0,3,57,134,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1143,4.61,28.0,,112.0,7.02,4.32,63,0,0,0,0,53,7,1,145,9.0,0,1.5,4,107,170,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1152,4.5,33.0,21.0,119.0,7.12,4.41,56,0,0,0,0,38,6,0,0,4.5,0,0.0,4,144,200,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0
1191,4.67,,,,,,157,0,1,1,18,44,4,0,5,29.5,8,13.0,4,177,334,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0
1228,4.58,27.5,13.0,103.0,6.81,4.25,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,15,2246,204,7,0,20,211,15,2266,4,86.0
1242,4.53,32.5,13.0,117.0,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,22,2,307,35,349,17,2092,384,19,2399,2,0,0,0,0,0,0,0,0,0,0,0,
1257,4.48,34.5,20.0,130.0,6.88,4.32,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,19,1550,133,34,2,410,167,21,1960,3,62.0
1264,4.52,26.5,13.0,115.0,7.33,4.37,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,6,1294,93,16,0,64,109,6,1358,5,
1266,4.46,34.0,15.0,125.0,,,49,0,0,0,0,37,3,0,25,3.5,9,0.0,3,76,125,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
