fms_id,espn_id,full_name,first_name,last_name,weight,height_inches,college,draft_year,position,position_group,section
2189,3873935.0,Jamel Dean,Jamel,Dean,206,73,Auburn,2019,CB,DB,D
2228,3884368.0,James Williams,James,Williams,197,69,Washington State,2019,RB,RB,O
2246,3672862.0,Jaquan Johnson,Jaquan,Johnson,191,70,Miami,2019,S,DB,D
2271,,Jarrett Stidham,Jarrett,Stidham,218,74,Auburn,2019,QB,QB,O
2334,4034961.0,Jawaan Taylor,Jawaan,Taylor,312,77,Florida,2019,OT,OL,O
2347,3916418.0,Jaylen Smith,Jaylen,Smith,219,74,Louisville,2019,WR,WR,O
2354,,Jazz Ferguson,Jazz,Ferguson,227,77,Northwestern St. (LA),2019,WR,WR,O
2357,4040893.0,Jeff Allison,Jeff,Allison,228,71,Fresno State,2019,OLB,LB,D
2454,3863182.0,Jerry Tillery,Jerry,Tillery,295,78,Notre Dame,2019,DL,DL,D
2493,3917797.0,Joe Giles-Harris,Joe,Giles-Harris,234,74,Duke,2019,OLB,LB,D
2498,4037459.0,Joe Jackson,Joe,Jackson,275,76,Miami,2019,DL,DL,D
2498,3123059.0,Joe Jackson,Joe,Jackson,275,76,Miami,2019,DL,DL,D
2515,4035286.0,Joejuan Williams,Joejuan,Williams,211,76,Vanderbilt,2019,CB,DB,D
2530,559590.0,John Battle,John,Battle,201,72,LSU,2019,S,DB,D
2563,3728305.0,Johnathan Abram,Johnathan,Abram,205,71,Mississippi State,2019,S,DB,D
2567,3121413.0,Johnnie Dixon,Johnnie,Dixon,201,70,Ohio State,2019,WR,WR,O
2599,3929780.0,Jonathan Crawford,Jonathan,Crawford,205,73,Indiana,2019,S,DB,D
2607,3728308.0,Jonathan Ledbetter,Jonathan,Ledbetter,280,76,Georgia,2019,DL,DL,D
2629,3122420.0,Jordan Brailford,Jordan,Brailford,252,75,Oklahoma State,2019,DE,DL,D
2630,3121034.0,Jordan Brown,Jordan,Brown,201,72,South Dakota State,2019,CB,DB,D
2639,3915235.0,Jordan Jones,Jordan,Jones,234,74,Kentucky,2019,OLB,LB,D
2647,3886824.0,Jordan Miller,Jordan,Miller,186,73,Washington,2019,CB,DB,D
2657,3915115.0,Jordan Scarlett,Jordan,Scarlett,208,71,Florida,2019,RB,RB,O
2659,4242418.0,Jordan Ta'amu,Jordan,Ta'amu,221,75,Ole Miss,2019,QB,QB,O
2677,,Josh Allen,Josh,Allen,262,77,Kentucky,2019,DE,DL,D
2707,4047365.0,Josh Jacobs,Josh,Jacobs,220,70,Alabama,2019,RB,RB,O
2720,3921690.0,Josh Oliver,Josh,Oliver,249,77,San Jose State,2019,TE,TE,O
2747,,Jovon Durante,Jovon,Durante,160,71,Florida Atlantic,2019,WR,WR,O
2749,3917909.0,Juan Thornhill,Juan,Thornhill,205,72,Virginia,2019,S,DB,D
2753,4570061.0,Julian Love,Julian,Love,195,71,Notre Dame,2019,CB,DB,D
2753,4046675.0,Julian Love,Julian,Love,195,71,Notre Dame,2019,CB,DB,D
2766,4038441.0,Justice Hill,Justice,Hill,198,70,Oklahoma State,2019,RB,RB,O
2791,,Justin Hollins,Justin,Hollins,248,77,Oregon,2019,DE,DL,D
2799,4046719.0,Justin Layne,Justin,Layne,192,74,Michigan State,2019,CB,DB,D
2820,4044452.0,Kaden Smith,Kaden,Smith,255,77,Stanford,2019,TE,TE,O
2823,3933327.0,Kahale Warring,Kahale,Warring,252,77,San Diego State,2019,TE,TE,O
2829,3127304.0,Kaleb McGary,Kaleb,McGary,317,79,Washington,2019,OT,OL,O
2843,3929927.0,Karan Higdon,Karan,Higdon,206,69,Michigan,2019,RB,RB,O
2871,3120980.0,Keelan Doss,Keelan,Doss,211,74,UC Davis,2019,WR,WR,O
2879,,Keenen Brown,Keenen,Brown,250,74,Texas State,2019,TE,TE,O
2880,3124537.0,Keesean Johnson,Keesean,Johnson,201,73,Fresno State,2019,WR,WR,O
2917,,Kelvin Harmon,Kelvin,Harmon,221,74,North Carolina St.,2019,WR,WR,O
2930,3128743.0,Ken Webster,Ken,Webster,203,71,Ole Miss,2019,CB,DB,D
2932,3122103.0,Kendall Blanton,Kendall,Blanton,262,78,Missouri,2019,TE,TE,O
2935,3122843.0,Kendall Joseph,Kendall,Joseph,233,72,Clemson,2019,OLB,LB,D
2938,3925358.0,Kendall Sheffield,Kendall,Sheffield,193,71,Ohio State,2019,CB,DB,D
3008,3929641.0,Kevin Givens,Kevin,Givens,285,73,Penn State,2019,DL,DL,D
3050,3929835.0,Khari Willis,Khari,Willis,213,71,Michigan State,2019,S,DB,D
3057,3917340.0,Kingsley Keke,Kingsley,Keke,288,75,Texas A&M,2019,DL,DL,D
3079,3929845.0,Kris Boyd,Kris,Boyd,201,71,Texas,2019,CB,DB,D
3103,3915776.0,Kyle Shurmur,Kyle,Shurmur,230,76,Vanderbilt,2019,QB,QB,O
3110,,Kyler Murray,Kyler,Murray,207,70,Oklahoma,2019,QB,QB,O
3115,3116449.0,L.J. Collier,L.J.,Collier,283,74,TCU,2019,DL,DL,D
3141,3128707.0,Lamont Gaillard,Lamont,Gaillard,305,75,Georgia,2019,OT,OL,O
3235,4039057.0,Lil'Jordan Humphrey,Lil'Jordan,Humphrey,210,76,Texas,2019,WR,WR,O
3242,3929828.0,Lj Scott,Lj,Scott,227,72,Michigan State,2019,RB,RB,O
3249,4035055.0,Lonnie Johnson,Lonnie,Johnson,213,74,Kentucky,2019,CB,DB,D
3268,3915291.0,Lukas Denis,Lukas,Denis,190,71,Boston College,2019,S,DB,D
3284,4040983.0,Mack Wilson,Mack,Wilson,240,73,Alabama,2019,OLB,LB,D
3298,3116693.0,Malik Carney,Malik,Carney,251,74,North Carolina,2019,DE,DL,D
3299,3931774.0,Malik Gant,Malik,Gant,209,72,Marshall,2019,S,DB,D
3299,3139428.0,Malik Gant,Malik,Gant,209,72,Marshall,2019,S,DB,D
3396,3728261.0,Mark Fields,Mark,Fields,192,70,Clemson,2019,CB,DB,D
3402,3917286.0,Mark McLaurin,Mark,McLaurin,212,73,Mississippi State,2019,S,DB,D
3439,4243244.0,Marquise Blair,Marquise,Blair,195,73,Utah,2019,S,DB,D
3440,4241372.0,Marquise Brown,Marquise,Brown,166,69,Oklahoma,2019,WR,WR,O
3450,,Martez Ivey,Martez,Ivey,315,77,Florida,2019,OT,OL,O
3459,,Marvell Tell,Marvell,Tell,198,74,USC,2019,S,DB,D
3532,3126035.0,Max Scharping,Max,Scharping,327,78,Northern Illinois,2019,OT,OL,O
3536,3916655.0,Maxx Crosby,Maxx,Crosby,255,77,Eastern Michigan,2019,DL,DL,D
3539,4035004.0,Mecole Hardman,Mecole,Hardman,187,70,Georgia,2019,WR,WR,O
3562,3121541.0,Michael Deiter,Michael,Deiter,309,77,Wisconsin,2019,OT,OL,O
3598,3918044.0,Mike Bell,Mike,Bell,210,75,Fresno State,2019,S,DB,D
3609,3155647.0,Mike Edwards,Mike,Edwards,205,70,Kentucky,2019,S,DB,D
3625,3917853.0,Mike Jackson,Mike,Jackson,210,73,Miami,2019,CB,DB,D
3657,3915536.0,Mike Weber,Mike,Weber,211,70,Ohio State,2019,RB,RB,O
3660,3932423.0,Miles Boykin,Miles,Boykin,220,76,Notre Dame,2019,WR,WR,O
3662,4045163.0,Miles Sanders,Miles,Sanders,211,71,Penn State,2019,RB,RB,O
3664,3728250.0,Mitch Hyatt,Mitch,Hyatt,303,77,Clemson,2019,OT,OL,O
3681,3134690.0,Montez Sweat,Montez,Sweat,260,78,Mississippi State,2019,DE,DL,D
3684,3915970.0,Montre Hartage,Montre,Hartage,190,71,Northwestern,2019,CB,DB,D
3699,3886818.0,Myles Gaskin,Myles,Gaskin,205,69,Washington,2019,RB,RB,O
3712,3120070.0,Nate Davis,Nate,Davis,316,75,Charlotte,2019,OT,OL,O
3717,3116134.0,Nate Hall,Nate,Hall,225,74,Northwestern,2019,OLB,LB,D
3719,,Nate Herbig,Nate,Herbig,335,75,Stanford,2019,OT,OL,O
3750,4040605.0,Nick Bosa,Nick,Bosa,266,76,Ohio State,2019,DL,DL,D
3751,3843406.0,Nick Brossette,Nick,Brossette,209,71,LSU,2019,RB,RB,O
3755,558337.0,Nick Fitzgerald,Nick,Fitzgerald,226,77,Mississippi State,2019,QB,QB,O
3784,4047839.0,Nkeal Harry,Nkeal,Harry,228,74,Arizona State,2019,WR,WR,O
3787,4036131.0,Noah Fant,Noah,Fant,249,76,Iowa,2019,TE,TE,O
3798,3921571.0,Nyqwan Murray,Nyqwan,Murray,191,70,Florida State,2019,WR,WR,O
3829,3123233.0,Oshane Ximines,Oshane,Ximines,253,75,Old Dominion,2019,DE,DL,D
3830,3122141.0,Otaro Alaka,Otaro,Alaka,239,75,Texas A&M,2019,OLB,LB,D
3847,3121410.0,Parris Campbell,Parris,Campbell,205,72,Ohio State,2019,WR,WR,O
3895,3136374.0,Phil Haynes,Phil,Haynes,322,76,Wake Forest,2019,OT,OL,O
3911,,Porter Gustin,Porter,Gustin,255,76,USC,2019,DE,DL,D
3918,3123944.0,Qadree Ollison,Qadree,Ollison,228,73,Pittsburgh,2019,RB,RB,O
3946,4040982.0,Quinnen Williams,Quinnen,Williams,303,75,Alabama,2019,DL,DL,D
3995,3924364.0,Rashad Fenton,Rashad,Fenton,193,71,South Carolina,2019,CB,DB,D
4002,4046523.0,Rashan Gary,Rashan,Gary,277,76,Michigan,2019,DL,DL,D
4048,3128815.0,Renell Wren,Renell,Wren,318,77,Arizona State,2019,DL,DL,D
4092,4035015.0,Riley Ridley,Riley,Ridley,199,73,Georgia,2019,WR,WR,O
4135,,Rock Ya-Sin,Rock,Ya-Sin,192,72,Temple,2019,CB,DB,D
4145,4379444.0,Rodney Anderson,Rodney,Anderson,224,72,Oklahoma,2019,RB,RB,O
4145,3705353.0,Rodney Anderson,Rodney,Anderson,224,72,Oklahoma,2019,RB,RB,O
4190,3126364.0,Ross Pierschbacher,Ross,Pierschbacher,307,76,Alabama,2019,OT,OL,O
4210,3929631.0,Ryan Bates,Ryan,Bates,306,76,Penn State,2019,OT,OL,O
4216,3121538.0,Ryan Connelly,Ryan,Connelly,242,74,Wisconsin,2019,OLB,LB,D
4217,4035499.0,Ryan Davis,Ryan,Davis,189,70,Auburn,2019,WR,WR,O
4217,3916946.0,Ryan Davis,Ryan,Davis,189,70,Auburn,2019,WR,WR,O
4220,,Ryan Finley,Ryan,Finley,213,76,North Carolina St.,2019,QB,QB,O
4249,3917563.0,Ryan Pope,Ryan,Pope,320,79,San Diego State,2019,OT,OL,O
4250,3916913.0,Ryan Pulley,Ryan,Pulley,209,71,Arkansas,2019,CB,DB,D
4264,3923397.0,Ryquell Armstead,Ryquell,Armstead,220,71,Temple,2019,RB,RB,O
4267,4372018.0,Saivion Smith,Saivion,Smith,199,73,Alabama,2019,CB,DB,D
4296,3127367.0,Saquan Hampton,Saquan,Hampton,206,73,Rutgers,2019,S,DB,D
4318,3932886.0,Sean Bunting,Sean,Bunting,195,72,Central Michigan,2019,CB,DB,D
4373,3929648.0,Shareef Miller,Shareef,Miller,254,76,Penn State,2019,DE,DL,D
4404,3917852.0,Sheldrick Redwine,Sheldrick,Redwine,196,72,Miami,2019,S,DB,D
4424,3138834.0,Sione Takitaki,Sione,Takitaki,238,73,BYU,2019,OLB,LB,D
4455,,Stanley Morgan,Stanley,Morgan,202,72,Nebraska,2019,WR,WR,O
4514,3921970.0,Sutton Smith,Sutton,Smith,233,72,Northern Illinois,2019,DE,DL,D
4524,3121544.0,T.J. Edwards,T.J.,Edwards,230,72,Wisconsin,2019,OLB,LB,D
4526,4036133.0,T.J. Hockenson,T.J.,Hockenson,251,77,Iowa,2019,TE,TE,O
4587,4039007.0,Taylor Rapp,Taylor,Rapp,208,72,Washington,2019,S,DB,D
4591,3862861.0,Te'von Coney,Te'von,Coney,234,73,Notre Dame,2019,OLB,LB,D
4603,3924319.0,Terez Hall,Terez,Hall,230,73,Missouri,2019,OLB,LB,D
4634,3922125.0,Terrill Hanks,Terrill,Hanks,242,74,New Mexico State,2019,OLB,LB,D
4635,,Terry Beckner,Terry,Beckner,296,76,Missouri,2019,DL,DL,D
