espn_id,full_name,first_name,last_name,position,position_group,section,college,home_city,home_state,home_country
4241629,Jacob Wilson,Jacob,Wilson,LB,LB,D,New Mexico State,Santa Teresa,NM        ,USA
4241628,Leon McQuaker,Leon,McQuaker,LB,LB,D,New Mexico State,Augusta,GA        ,USA
4241627,Ron LaForce,Ron,LaForce,DB,DB,D,New Mexico State,Bayou La Batre,AL        ,USA
4241625,Tevis Abraham,Tevis,Abraham,WR,WR,O,New Mexico State,Baton Rouge,LA        ,USA
4241624,Komotay Koffie,Komotay,Koffie,DB,DB,D,New Mexico State,Providence,RI        ,USA
4241617,Tyson Williams,Tyson,Williams,DB,DB,D,Nevada,Dothan,AL        ,USA
4241616,Sheldon Wilkinson,Sheldon,Wilkinson,LB,LB,D,Nevada,Spring Creek,NV        ,USA
4241615,Lamin Touray,Lamin,Touray,LB,LB,D,Nevada,Mission Hills,CA        ,USA
4241614,Karson Thomas,Karson,Thomas,LS,LS,ST,Nevada,Reno,NV        ,USA
4241611,Nephi Sewell,Nephi,Sewell,DB,DB,D,Nevada,St. George,UT        ,USA
4241609,Berdale Robins,Berdale,Robins,DB,DB,D,Nevada,Los Angeles,CA        ,USA
4241608,Reagan Roberson,Reagan,Roberson,TE,TE,O,Nevada,Gardnerville,NV        ,USA
4241607,Trevor Price,Trevor,Price,LB,LB,D,Nevada,Round Rock,TX        ,USA
4241605,Dom Peterson,Dom,Peterson,DE,DL,D,Nevada,Harbor City,CA        ,USA
4241603,Roger Neal,Roger,Neal,RB,RB,O,Nevada,Folsom,CA        ,USA
4241602,McLane Mannix,McLane,Mannix,WR,WR,O,Nevada,Midland,TX        ,USA
4241599,Amir Johnson,Amir,Johnson,DE,DL,D,Nevada,Las Vegas,NV        ,USA
4241598,Mar'Quette Jackson,Mar'Quette,Jackson,DB,DB,D,Nevada,Los Angeles,CA        ,USA
4241597,Daiyan Henley,Daiyan,Henley,DB,DB,D,Nevada,Los Angeles,CA        ,USA
4241596,Anthony Hankins,Anthony,Hankins,DB,DB,D,Nevada,Reno,NV        ,USA
4241595,Chris Green,Chris,Green,DT,DL,D,Nevada,Los Angeles,CA        ,USA
4241592,Gray Davis,Gray,Davis,OL,OL,O,Nevada,Dallas,TX        ,USA
4241591,Griffin Dahn,Griffin,Dahn,QB,QB,O,Nevada,Columbus,OH        ,USA
4241590,Kaymen Cureton,Kaymen,Cureton,DB,DB,D,Nevada,Lawndale,CA        ,USA
4241589,Vosean Crumbie,Vosean,Crumbie,DB,DB,D,Nevada,Leander,TX        ,USA
4241588,Elijah Cooks,Elijah,Cooks,WR,WR,O,Nevada,Atascadero,CA        ,USA
4241587,Quinton Conaway,Quinton,Conaway,P,P,ST,Nevada,Edmond,OK        ,USA
4241586,Troy Calderara,Troy,Calderara,PK,PK,ST,Nevada,Lancaster,TX        ,USA
4241582,Austin Arnold,Austin,Arnold,DB,DB,D,Nevada,Las Vegas,NV        ,USA
