Geographic Location,county,state,poverty_pct,med_income
"Wedowee, AL", Randolph County, AL,19.4,"$69,212"
"Saint Petersburg, FL", Pinellas County, FL,11.7,"$69,212"
"Chico, CA", Butte County, CA,14.3,"$69,212"
"Olive Branch, MS", DeSoto County, MS,9.0,"$69,212"
"Loveland, CO", Larimer County, CO,10.5,"$69,212"
"Dania Beach, FL", Broward County, FL,12.6,"$69,212"
"Maple City, MI", Leelanau County, MI,7.0,"$69,212"
"Morristown, NJ", Morris County, NJ,20.2,"$69,212"
"Mendota Heights, MN", Dakota County, MN,12.4,"$69,212"
"Chicago Heights, IL", Cook County, IL,9.6,"$69,212"
"Spotswood, NJ", Middlesex County, NJ,12.7,"$69,212"
"Mckinney, TX", Collin County, TX,6.4,"$69,212"
"Uniontown, PA", Fayette County, PA,22.5,"$69,212"
"Lexington Park, MD", Saint Mary's County, MD,,"$69,212"
"Pittsburgh, PA", Allegheny County, PA,11.7,"$69,212"
"Commerce, TX", Hunt County, TX,13.6,"$69,212"
"Dickinson, TX", Galveston County, TX,12.1,"$69,212"
"Snellville, GA", Gwinnett County, GA,9.2,"$69,212"
"Shelby Twp, MI", Oceana County, MI,15.5,"$69,212"
"San Marcos, TX", Hays County, TX,13.2,"$69,212"
"Cibolo, TX", Guadalupe County, TX,8.5,"$69,212"
"Shawnee, KS",Shawnee County, KS,13.9,"$69,212"
"Bethlehem, PA", Northampton County, PA,18.8,"$69,212"
"Newport Beach, CA", Orange County, CA,9.4,"$69,212"
"West Bountiful, UT",,,,"$69,212"
"Sterling, UT", Sanpete County, UT,14.8,"$69,212"
"Gulf Breeze, FL", Santa Rosa County, FL,9.5,"$69,212"
"Dayton, OH", Montgomery County, OH,24.1,"$69,212"
"Montgomery Village, MD", Montgomery County, MD,24.1,"$69,212"
"Union, MS", Salt Lake County, MS,9.0,"$69,212"
"Bossier City, LA", Bossier Parish, LA,14.4,"$69,212"
"Yorba Linda, CA", Orange County, CA,9.4,"$69,212"
"Bentonia, MS", Yazoo County, MS,37.1,"$69,212"
"Wilmington, NC", New Hanover County, NC,15.3,"$69,212"
"Visalia, CA", Tulare County, CA,22.2,"$69,212"
"Denton, TX",Denton County, TX,7.3,"$69,212"
"Holden, LA", Johnson County, LA,10.3,"$69,212"
"Anaheim, CA", Orange County, CA,9.4,"$69,212"
"Hendersonville, TN", Sumner County, TN,8.9,"$69,212"
"Moreno Valley, CA", Riverside County, CA,12.7,"$69,212"
"Redmond, WA", King County, WA,9.2,"$69,212"
"Pleasant Grove, UT", Utah County, UT,9.4,"$69,212"
"El Segundo, CA", Los Angeles County, CA,14.2,"$69,212"
"Diamond Bar, CA", Los Angeles County, CA,14.2,"$69,212"
"Algona, IA", Kossuth County, IA,10.1,"$69,212"
"London, ", Laurel County, ,20.6,"$69,212"
"Madison, WI", Dane County, WI,10.8,"$69,212"
"Kenner, LA", Jefferson Parish, LA,15.6,"$69,212"
"La Puente, CA", Los Angeles County, CA,14.2,"$69,212"
"Birmingham, AL", Jefferson County, AL,8.1,"$69,212"
"Achern, ",,,,"$69,212"
"Houston, TX", Harris County, TX,16.5,"$69,212"
"Van Vleck, TX", Matagorda County, TX,18.4,"$69,212"
"Darien, CT", Monmouth County, CT,6.7,"$69,212"
"Lowell, MA", Middlesex County, MA,12.7,"$69,212"
"Spring Valley, NY", Rockland County, NY,13.9,"$69,212"
"Columbia, MO", Boone County, MO,22.5,"$69,212"
"Zeeland, MI", Ottawa County, MI,20.6,"$69,212"
"Kennesaw, GA", Cobb County, GA,9.1,"$69,212"
"Carrollton, TX", Dallas County, TX,14.2,"$69,212"
"Garden City, KS", Finney County, KS,13.2,"$69,212"
"La Canada Flintridge, CA", Los Angeles County, CA,14.2,"$69,212"
"Palm Springs, CA", Riverside County, CA,12.7,"$69,212"
"Canadian, TX", Hemphill County, TX,9.6,"$69,212"
"Annapolis, MD", Anne Arundel County, MD,7.0,"$69,212"
"Allen, TX", Collin County, TX,6.4,"$69,212"
"Austintown, OH", Mahoning County, OH,16.5,"$69,212"
"Rubidoux, CA", Riverside County, CA,12.7,"$69,212"
"Murrieta, CA", Riverside County, CA,12.7,"$69,212"
"Las Vegas, NV", Clark County, NV,11.9,"$69,212"
"Central Valley, NY", Orange County, NY,9.4,"$69,212"
"South Jordan, UT",,,,"$69,212"
"Mcallen, TX", Hidalgo County, TX,30.0,"$69,212"
"Managua, ",,,,"$69,212"
"Temecula, CA", Riverside County, CA,12.7,"$69,212"
"Mishawaka, IN", Saint Joseph County, IN,,"$69,212"
"Reno, NV", Washoe County, NV,10.4,"$69,212"
"El Dorado, AR", Union County, AR,19.8,"$69,212"
"Madill, OK", Marshall County, OK,13.9,"$69,212"
"Santa Clarita, CA", Los Angeles County, CA,14.2,"$69,212"
"Hilo, HI", Hawaiʻi County, HI,,"$69,212"
"Boulder, CO",Boulder County, CO,9.7,"$69,212"
"Marina Del Rey, CA", Los Angeles County, CA,14.2,"$69,212"
"Tigard, OR", Washington County, OR,4.5,"$69,212"
"Mcdonough, GA", Henry County, GA,20.0,"$69,212"
"Sebastopol, CA", Sonoma County, CA,9.9,"$69,212"
"Watsonville, CA", Santa Cruz County, CA,12.2,"$69,212"
"Aldie, VA", Loudoun County, VA,3.6,"$69,212"
"Victorville, CA", San Bernardino County, CA,14.9,"$69,212"
"Southaven, MS", DeSoto County, MS,9.0,"$69,212"
"Kent, OH", Portage County, OH,11.3,"$69,212"
"Hillside, NJ", Union County, NJ,19.8,"$69,212"
"La Habra, CA", Orange County, CA,9.4,"$69,212"
"Livonia, MI", Wayne County, MI,20.9,"$69,212"
"Sartell, MN", Stearns County, MN,12.4,"$69,212"
"Youngstown, OH", Mahoning County, OH,16.5,"$69,212"
"Canfield, OH", Mahoning County, OH,16.5,"$69,212"
"Solihull, ", Upshur County, ,19.0,"$69,212"
"Pinola, MS", Simpson County, MS,19.8,"$69,212"
"West Palm Beach, FL", Palm Beach County, FL,12.2,"$69,212"
"Monroe, WA", Snohomish County, WA,7.5,"$69,212"
"Plano, TX", Collin County, TX,6.4,"$69,212"
"Tulsa, OK", Tulsa County, OK,14.1,"$69,212"
"Norman, OK",,,,"$69,212"
"Frisco, TX", Collin County, TX,6.4,"$69,212"
"Fort Myers, FL", Lee County, FL,24.8,"$69,212"
"Round Rock, TX", Williamson County, TX,6.4,"$69,212"
"Arlington, TX", Tarrant County, TX,12.1,"$69,212"
"Liberty Hill, TX", Williamson County, TX,6.4,"$69,212"
"Mascotte, FL", Lake County, FL,36.5,"$69,212"
"College Station, TX", Brazos County, TX,23.2,"$69,212"
"Tucson, AZ", Pima County, AZ,16.2,"$69,212"
"San Angelo, TX", Tom Green County, TX,15.5,"$69,212"
"Brooklyn Park, MN", Hennepin County, MN,10.3,"$69,212"
"Topeka, KS", Shawnee County, KS,13.9,"$69,212"
"Springdale, AR", Washington County, AR,4.5,"$69,212"
"Kingston, GA", Bartow County, GA,12.2,"$69,212"
"Valdosta, GA", Lowndes County, GA,23.1,"$69,212"
"Grove, OK", Delaware County, OK,8.8,"$69,212"
"Lincoln, NE", Lancaster County, NE,12.3,"$69,212"
"Woodland, CA", Yolo County, CA,20.1,"$69,212"
"Kihei, HI", Maui County, HI,8.6,"$69,212"
"Chino Hills, CA", San Bernardino County, CA,14.9,"$69,212"
"Fitzgerald, GA", Ben Hill County, GA,26.2,"$69,212"
"Lake Alfred, FL", Polk County, FL,9.6,"$69,212"
"Reynoldsburg, OH", Franklin County, OH,13.4,"$69,212"
"Folsom, CA", Sacramento County, CA,14.3,"$69,212"
"Robbinsdale, MN", Hennepin County, MN,10.3,"$69,212"
