College,Geographic Location,county,state,poverty_pct,med_income
Texas State,"San Marcos, TX", Hays County, TX,13.2,"$48,010"
Texas Tech,"Lubbock, TX", Lubbock County, TX,17.6,"$48,010"
Texas-El Paso,"El Paso, TX", El Paso County, TX,20.5,"$48,010"
Texas-San Antonio,"San Antonio, TX", Bexar County, TX,17.2,"$48,010"
Toledo,"Toledo, OH", Lucas County, OH,18.7,"$48,010"
Towson,"Towson, MD", Baltimore County, MD,9.9,"$48,010"
Troy,"Troy, AL", San Francisco City and County, AL,,"$48,010"
Tulane,"New Orleans, LA", Orleans Parish, LA,23.8,"$48,010"
Tulsa,"Tulsa, OK", Tulsa County, OK,14.1,"$48,010"
UC Davis,"Davis, CA", Yolo County, CA,20.1,"$48,010"
UCLA,"Los Angeles, CA", Los Angeles County, CA,14.2,"$48,010"
UNLV,"Las Vegas, NV", Clark County, NV,11.9,"$48,010"
USC,"Los Angeles, CA", Los Angeles County, CA,14.2,"$48,010"
Utah,"Salt Lake City, UT", Salt Lake County, UT,9.0,"$48,010"
Utah St.,"Logan, UT", Cache County, UT,12.9,"$48,010"
Utah State,"Logan, UT", Cache County, UT,12.9,"$48,010"
Vanderbilt,"Nashville, TN", Davidson County, TN,15.4,"$48,010"
Villanova,"Villanova, PA", Delaware County, PA,8.8,"$48,010"
Virginia,"Charlottesville, VA",,,,"$48,010"
Virginia Tech,"Blacksburg, VA", Montgomery County, VA,24.1,"$48,010"
Wake Forest,"Winston-Salem, NC", Forsyth County, NC,16.4,"$48,010"
Washington,"Seattle, WA", King County, WA,9.2,"$48,010"
Washington St.,"Pullman, WA", Whitman County, WA,25.4,"$48,010"
Washington State,"Pullman, WA", Whitman County, WA,25.4,"$48,010"
Wayne State (MI),"Detroit, MI", Wayne County, MI,20.9,"$48,010"
Weber State,"Ogden, UT", Weber County, UT,9.4,"$48,010"
West Georgia,"Carrollton, GA", Carroll County, GA,15.7,"$48,010"
West Liberty,"West Liberty, WV", Ohio County, WV,12.5,"$48,010"
West Texas A&M,"Canyon, TX", Randall County, TX,8.5,"$48,010"
West Virginia,"Morgantown, WV", Monongalia County, WV,18.3,"$48,010"
Western Carolina,"Cullowhee, NC", Jackson County, NC,12.0,"$48,010"
Western Kentucky,"Bowling Green, KY", Warren County, KY,10.3,"$48,010"
Western Michigan,"Kalamazoo, MI", Kalamazoo County, MI,14.4,"$48,010"
Wisconsin,"Madison, WI", Dane County, WI,10.8,"$48,010"
Wyoming,"Laramie, WY", Gloucester County, WY,9.1,"$48,010"
Yale,"New Haven, CT", Prince George's County, CT,8.3,"$48,010"
Youngstown State,"Youngstown, OH", Mahoning County, OH,16.5,"$48,010"
