pick,team,year,player,pos,college
164,NOR,2018,Natrell Jamerson,S,Wisconsin
300,NA,2018,Nic Shimonek,QB,Texas Tech
237,DET,2018,Nick Bawden,FB,San Diego St.
35,CLE,2018,Nick Chubb,RB,Georgia
300,NA,2018,Nick Gates,OT,Nebraska
110,OAK,2018,Nick Nelson,CB,Wisconsin
104,IND,2018,Nyheim Hines,RB,North Carolina St.
160,LAR,2018,Ogbonnia Okoronkwo,DE,Oklahoma
88,GNB,2018,Oren Burks,OLB,Vanderbilt
179,NYJ,2018,Parry Nickerson,CB,Tulane
214,HOU,2018,Peter Kalambayi,DE,Stanford
300,NA,2018,Quadree Henderson,WR,Pittsburgh
300,NA,2018,Quenton Meeks,CB,Stanford
6,IND,2018,Quenton Nelson,OG,Notre Dame
300,NA,2018,Quin Blanding,S,Virginia
300,NA,2018,Quinton Flowers,QB,South Florida
139,NYG,2018,R.J. McIntosh,DT,Miami
27,SEA,2018,Rashaad Penny,RB,San Diego St.
22,TEN,2018,Rashaan Evans,OLB,Alabama
85,CAR,2018,Rashaan Gaulden,CB,Tennessee
300,NA,2018,Rashard Fant,CB,Indiana
79,SEA,2018,Rasheem Green,DE,USC
187,BUF,2018,Ray-ray McCloud,WR,Clemson
240,SFO,2018,Richie James,WR,Middle Tennessee St.
127,NOR,2018,Rick Leonard,OT,Florida St.
300,NA,2018,Riley Ferguson,QB,Memphis
