College,Geographic Location,city_lat,city_lon,ann_rain_inch,ann_snow_inch,min_jan,min_feb,min_mar,min_apr,min_may,min_jun,min_jul,min_aug,min_sep,min_oct,min_nov,min_dec,max_jan,max_feb,max_mar,max_apr,max_may,max_jun,max_jul,max_aug,max_sep,max_oct,max_nov,max_dec
Ferris St.,"Big Rapids, MI",43.698078,-85.483656,36.6,7.6,11.4,12.0,19.1,30.8,42.7,52.3,56.9,54.5,46.0,35.2,26.8,17.5,28.2,31.8,41.8,55.6,67.6,77.0,81.2,78.6,70.7,57.6,43.8,32.2
Florida,"Gainesville, FL",29.6519684,-82.3249846,47.33,0.0,41.5,42.4,48.6,53.4,61.4,68.4,69.7,70.6,67.0,58.4,50.4,44.2,66.9,69.9,75.2,80.8,87.5,90.7,91.8,91.3,88.8,82.3,75.8,68.4
Florida Atlantic,"Boca Raton, FL",26.3586885,-80.0830984,61.39,0.0,58.9,61.7,64.5,67.9,72.1,75.7,76.7,76.9,75.9,73.1,67.5,62.0,74.7,76.3,78.1,81.3,84.7,87.3,89.0,89.3,87.4,84.1,79.8,76.4
Florida International,"Miami, FL",25.7742658,-80.1936589,51.73,0.0,59.9,62.3,64.9,68.3,72.9,76.0,77.3,77.4,76.5,73.5,68.1,63.0,76.4,78.1,80.3,83.2,87.0,89.5,90.9,91.0,89.3,86.2,81.7,77.9
Florida St.,"Tallahassee, FL",30.4380832,-84.2809332,58.06,0,39.0,41.9,47.1,52.3,61.6,69.5,72.0,72.1,68.1,57.3,47.5,41.1,63.5,67.5,73.8,79.9,87.0,91.0,92.1,91.5,88.4,81.4,73.0,65.3
Florida State,"Tallahassee, FL",30.4380832,-84.2809332,58.06,0,39.0,41.9,47.1,52.3,61.6,69.5,72.0,72.1,68.1,57.3,47.5,41.1,63.5,67.5,73.8,79.9,87.0,91.0,92.1,91.5,88.4,81.4,73.0,65.3
Fort Hays State,"Hays, KS",38.8791783,-99.3267702,24.52,1.18,16.4,19.6,28.4,38.2,49.8,60.1,64.7,63.4,53.6,40.5,27.3,18.1,42.5,46.4,56.4,66.2,75.3,85.6,91.9,90.3,81.8,69.3,55.2,42.9
Fresno St.,"Fresno, CA",36.7295295,-119.70886126075588,26.25,0.06,37.9,41.8,45.2,48.6,55.2,61.1,66.2,65.4,60.9,52.7,43.4,38.0,55.7,63.0,68.4,74.9,83.6,91.6,96.5,96.5,90.8,79.9,66.4,56.5
Fresno State,"Fresno, CA",36.7295295,-119.70886126075588,26.25,0.06,37.9,41.8,45.2,48.6,55.2,61.1,66.2,65.4,60.9,52.7,43.4,38.0,55.7,63.0,68.4,74.9,83.6,91.6,96.5,96.5,90.8,79.9,66.4,56.5
Furman,"Greenville, SC",34.851354,-82.3984882,54.95,0.04,31.2,33.7,39.8,48.5,57.9,67.0,70.4,69.4,61.8,50.7,41.7,34.0,49.9,53.1,61.6,71.7,79.1,85.6,88.8,87.9,81.1,71.4,61.7,51.7
Georgia,"Athens, GA",33.9597677,-83.376398,49.68,0.06,33.1,36.3,42.5,49.3,58.2,66.4,69.8,69.3,62.7,51.5,42.4,35.0,53.9,58.2,66.2,74.0,81.8,88.7,91.4,89.9,84.0,74.4,65.2,55.7
Georgia Southern,"Statesboro, GA",32.4490141,-81.7832912,48.74,0.01,36.5,39.2,45.1,51.9,61.0,68.7,71.1,70.4,65.6,55.3,45.7,38.7,59.7,63.5,70.1,77.7,85.3,90.7,93.0,91.3,86.1,78.5,70.5,61.6
Georgia State,"Atlanta, GA",33.7490987,-84.3901849,51.17,0.04,7.0,5.3,13.4,27.4,38.3,48.1,52.4,50.4,43.1,33.4,25.6,15.6,27.5,30.1,40.1,53.9,67.3,76.3,80.3,78.3,70.5,57.0,43.5,31.6
Georgia Tech,"Atlanta, GA",33.7490987,-84.3901849,51.17,0.04,7.0,5.3,13.4,27.4,38.3,48.1,52.4,50.4,43.1,33.4,25.6,15.6,27.5,30.1,40.1,53.9,67.3,76.3,80.3,78.3,70.5,57.0,43.5,31.6
Glenville State,"Glenville, WV",38.9342573,-80.8376033,46.85,4.48,22.2,23.9,30.1,39.0,48.6,58.5,63.2,62.0,53.7,41.7,32.8,25.6,42.2,46.1,55.4,67.2,75.2,82.7,85.8,85.2,79.2,68.7,57.6,45.2
Grambling State,"Grambling, LA",32.5276503,-92.7140403,55.75,0.03,32.8,36.1,42.8,50.5,59.7,66.7,69.7,69.0,62.4,51.6,42.7,34.8,54.9,58.9,67.0,74.9,81.9,88.4,91.6,91.9,86.0,76.1,66.0,56.6
Hampton,"Hampton, VA",37.0300969,-76.3452057,46.02,0.01,34.4,35.7,41.6,50.8,59.2,68.2,72.8,71.8,66.3,54.9,46.6,37.8,49.8,53.3,61.3,70.9,77.8,85.9,88.9,86.8,81.5,71.6,63.2,53.0
Hawaii,"Honolulu, HI",21.304547,-157.8556764,122.63,0.0,73.4,73.4,73.5,74.2,75.4,77.0,77.7,78.3,78.1,77.5,76.0,74.3,83.2,83.4,83.7,84.7,85.9,87.5,88.3,88.9,88.7,87.5,85.3,83.9
Hillsdale,"Hillsdale, MI",41.8779105,-84.5984396,37.96,5.16,14.5,16.0,24.3,35.2,46.0,56.0,59.3,57.4,49.4,38.7,30.1,20.0,30.3,34.0,44.2,57.9,68.7,78.1,82.2,79.9,72.9,60.4,47.2,34.4
Houston,"Houston, TX",29.7589382,-95.3676974,53.5,0.0,42.6,46.1,53.3,60.0,68.1,74.2,76.1,75.5,69.8,61.0,52.3,44.3,61.9,65.4,71.5,77.6,84.0,89.2,91.4,92.4,88.2,81.0,71.9,63.8
Idaho,"Moscow, ID",46.7323875,-117.0001651,24.94,3.45,25.1,26.6,31.4,35.5,40.9,45.2,48.5,48.7,42.8,36.0,30.4,23.5,37.3,42.0,50.2,58.3,66.8,73.6,83.8,85.1,75.4,60.7,44.1,35.5
