pick,team,year,player,pos,college,weight,height_inches
NA,NA,2019,Ken Webster,CB,Mississippi,203,71
NA,NA,2019,Kendall Blanton,TE,Missouri,262,78
NA,NA,2019,Kendall Joseph,OLB,Clemson,233,72
NA,NA,2019,Kendall Sheffield,CB,Ohio St.,193,71
NA,NA,2019,Kevin Givens,DL,Penn St.,285,73
NA,NA,2019,Khari Willis,S,Michigan St.,213,71
NA,NA,2019,Kingsley Keke,DL,Texas A&M,288,75
NA,NA,2019,Kris Boyd,CB,Texas,201,71
NA,NA,2019,Kyle Shurmur,QB,Vanderbilt,230,76
NA,NA,2019,Kyler Murray,QB,Oklahoma,207,70
NA,NA,2019,L.J. Collier,DL,TCU,283,74
NA,NA,2019,Lamont Gaillard,OT,Georgia,305,75
NA,NA,2019,Lil'Jordan Humphrey,WR,Texas,210,76
NA,NA,2019,Lj Scott,RB,Michigan St.,227,72
NA,NA,2019,Lonnie Johnson,CB,Kentucky,213,74
NA,NA,2019,Lukas Denis,S,Boston College,190,71
NA,NA,2019,Mack Wilson,OLB,Alabama,240,73
NA,NA,2019,Malik Carney,DE,North Carolina,251,74
NA,NA,2019,Malik Gant,S,Marshall,209,72
NA,NA,2019,Mark Fields,CB,Clemson,192,70
NA,NA,2019,Mark McLaurin,S,Mississippi St.,212,73
NA,NA,2019,Marquise Blair,S,Utah,195,73
NA,NA,2019,Marquise Brown,WR,Oklahoma,166,69
NA,NA,2019,Martez Ivey,OT,Florida,315,77
NA,NA,2019,Marvell Tell,S,USC,198,74
NA,NA,2019,Max Scharping,OT,Northern Illinois,327,78
NA,NA,2019,Maxx Crosby,DL,Eastern Michigan,255,77
NA,NA,2019,Mecole Hardman,WR,Georgia,187,70
NA,NA,2019,Michael Deiter,OT,Wisconsin,309,77
NA,NA,2019,Mike Bell,S,Fresno St.,210,75
NA,NA,2019,Mike Edwards,S,Kentucky,205,70
NA,NA,2019,Mike Jackson,CB,Miami,210,73
NA,NA,2019,Mike Weber,RB,Ohio St.,211,70
NA,NA,2019,Miles Boykin,WR,Notre Dame,220,76
NA,NA,2019,Miles Sanders,RB,Penn St.,211,71
NA,NA,2019,Mitch Hyatt,OT,Clemson,303,77
NA,NA,2019,Montez Sweat,DE,Mississippi St.,260,78
NA,NA,2019,Montre Hartage,CB,Northwestern,190,71
NA,NA,2019,Myles Gaskin,RB,Washington,205,69
NA,NA,2019,Nate Davis,OT,Charlotte,316,75
NA,NA,2019,Nate Hall,OLB,Northwestern,225,74
NA,NA,2019,Nate Herbig,OT,Stanford,335,75
NA,NA,2019,Nick Bosa,DL,Ohio St.,266,76
NA,NA,2019,Nick Brossette,RB,LSU,209,71
NA,NA,2019,Nick Fitzgerald,QB,Mississippi St.,226,77
NA,NA,2019,Nkeal Harry,WR,Arizona State,228,74
NA,NA,2019,Noah Fant,TE,Iowa,249,76
NA,NA,2019,Nyqwan Murray,WR,Florida St.,191,70
NA,NA,2019,Oshane Ximines,DE,Old Dominion,253,75
NA,NA,2019,Otaro Alaka,OLB,Texas A&M,239,75
NA,NA,2019,Parris Campbell,WR,Ohio St.,205,72
NA,NA,2019,Phil Haynes,OT,Wake Forest,322,76
NA,NA,2019,Porter Gustin,DE,USC,255,76
NA,NA,2019,Qadree Ollison,RB,Pittsburgh,228,73
NA,NA,2019,Quinnen Williams,DL,Alabama,303,75
NA,NA,2019,Rashad Fenton,CB,South Carolina,193,71
NA,NA,2019,Rashan Gary,DL,Michigan,277,76
NA,NA,2019,Renell Wren,DL,Arizona State,318,77
NA,NA,2019,Riley Ridley,WR,Georgia,199,73
NA,NA,2019,Rock Ya-Sin,CB,Temple,192,72
